"","item1","item2","missing","careless_long"
"2821","2021-10-07 09:46:02","2021-10-07 10:37:38",58,7
"285","2021-10-07 09:46:20","2021-10-07 10:46:28",54,8
"287","2021-10-07 09:46:41","2021-10-07 10:21:22",102,12
"288","2021-10-07 09:46:49","2021-10-07 10:35:12",27,4
"289","2021-10-07 09:46:51","2021-10-07 10:15:06",51,16
"291","2021-10-07 09:46:52","2021-10-07 10:17:00",94,12
"292","2021-10-07 09:46:55","2021-10-07 10:25:38",85,12
"293","2021-10-07 09:47:01","2021-10-07 11:40:16",123,13
"295","2021-10-07 09:47:35","2021-10-07 10:13:53",96,11
"296","2021-10-07 09:47:36","2021-10-07 10:35:49",84,13
"299","2021-10-07 09:48:11","2021-10-07 10:16:40",81,13
"300","2021-10-07 09:48:14","2021-10-07 10:28:53",64,8
