"","item400","preferredLabel","worker"
"508","legal secretary","Technicians and associate professionals","Skill"
"509","Network Engineer","Professionals","Knowledge"
"510","Student Hub Advisor","Professionals","Knowledge"
"511","Cornershop delivery ","Plant and machine operators and assemblers","Skill"
"512","GENERAL MANAGER","Managers","Knowledge"
"513","Dentist in charge of a small group of interns","Technicians and associate professionals","Skill"
"514"," microbiology Laboratory","Technicians and associate professionals","Skill"
"515","Attorney","Professionals","Knowledge"
"516","Arquitecta",NA,NA
"517","Head of intermediate grades (4-7) of a primary school ","Managers","Knowledge"
"518","University Researcher","Professionals","Knowledge"
"519","The study discusses the initial and environmental conditions of human social and employment.","Professionals","Knowledge"
"520","Financial Advisor","Professionals","Knowledge"
"521","Administrative in a Health facility","Technicians and associate professionals","Skill"
"522","ADMINISTRATIVE","Technicians and associate professionals","Skill"
"523","Real Estate Agent","Technicians and associate professionals","Skill"
"524","Teaching music and handling equipment (related to music)","Professionals","Knowledge"
"525","Sales","Professionals","Knowledge"
"526","I am duty manager/load master/process instructor","Managers","Knowledge"
"527","solution center engineer","Professionals","Knowledge"
"528","MARKETING MANAGER","Managers","Knowledge"
"529","Logistics Administrator","Professionals","Knowledge"
"530","Director of Support Engineer","Professionals","Knowledge"
"531","Data Analyst","Professionals","Knowledge"
"532","cleaning","Elementary occupations","Skill"
"533","Waiting list coordinator ","Technicians and associate professionals","Skill"
"534","research assistant","Technicians and associate professionals","Skill"
"535","Teacher","Professionals","Knowledge"
"536","Dental Assistant","Technicians and associate professionals","Skill"
"537","fund accountant","Professionals","Knowledge"
"538","Science Educator","Professionals","Knowledge"
"539","consultant ","Professionals","Knowledge"
"540","Farmer","Skilled agricultural, forestry and fishery workers","Skill"
"541","store operator","Plant and machine operators and assemblers","Skill"
"542","Records manager","Managers","Knowledge"
"543","All round supermarket employee","Technicians and associate professionals","Skill"
"544","web and software tester, stores tester and auditor","Professionals","Knowledge"
"545","Administrative tasks in Public Government","Professionals","Knowledge"
"546","Primary job","Professionals","Knowledge"
"547","Sales assistant","Technicians and associate professionals","Skill"
"548","English Teacher","Professionals","Knowledge"
"549","Food Courier","Technicians and associate professionals","Skill"
"550","business executive","Professionals","Knowledge"
"551","teacher","Professionals","Knowledge"
"552","Administrative ","Technicians and associate professionals","Skill"
"553","Call Center Assistant","Technicians and associate professionals","Skill"
"554","care provider for children and the elderly","Technicians and associate professionals","Skill"
"555","Data Specialist","Professionals","Knowledge"
"556","auxiliary force","Service and sales workers","Skill"
"557","613a88ded0b19096955dece9",NA,NA
"558","Teacher","Professionals","Knowledge"
"559","senior software engineer","Professionals","Knowledge"
"560","(Software) Application Specialist","Professionals","Knowledge"
"561","manager","Managers","Knowledge"
"562","Operations Staff","Managers","Knowledge"
"563","Advertising Copywriter","Professionals","Knowledge"
"564","Insurance Claims Technician","Technicians and associate professionals","Skill"
"565","Teaching","Professionals","Knowledge"
"566","Assistant to the Coordination of Education and Outreach","Professionals","Knowledge"
"567","Waitress","Service and sales workers","Skill"
"568","Packaging, physical jobs","Professionals","Knowledge"
